fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL101_073244	3	exit=0	14	8	4	2	14	8	6	0	0	6.81	605	0
fam_MCL105_073244	3	exit=0	26	2	2	22	20	1	1	6	1	0.44	159	0
fam_MCL108_073244	3	exit=0	7	3	4	0	7	3	3	0	0	0.23	159	2
fam_MCL10_073244	8	exit=0	1376	88	126	1162	1376	88	86	0	0	14.51	1466	0
fam_MCL110_073244	3	exit=0	468	432	7	29	468	432	432	0	0	1.11	161	0
fam_MCL15_073242	4	exit=0	82	72	0	10	79	69	69	3	3	0.7	257	2
fam_MCL16_073242	3	exit=0	3	3	0	0	1	1	1	2	2	1.0	340	3
fam_MCL23_073244	4	exit=0	60	41	18	1	57	41	35	3	0	0.3	159	0
fam_MCL29_073242	3	exit=0	19	19	0	0	15	15	15	4	4	0.23	257	0
fam_MCL2_073244	2	exit=0	3	3	0	0	3	3	3	0	0	0.29	159	0
fam_MCL32_073244	3	exit=0	47	7	15	25	47	7	7	0	0	0.29	159	2
fam_MCL34_073244	2	exit=0	117	14	7	96	117	14	12	0	0	8.37	405	0
fam_MCL35_073242	3	exit=0	111	107	2	2	111	107	106	0	0	0.33	257	0
fam_MCL36_073242	3	exit=0	383	195	2	186	383	195	195	0	0	1.27	257	0
fam_MCL37_073244	5	exit=0	713	418	19	276	713	418	417	0	0	2.43	323	0
fam_MCL38_073244	4	exit=0	704	476	23	205	624	426	424	80	50	3.3	169	2
fam_MCL3_073242	22	exit=0	1004	91	108	805	531	76	76	473	15	26.21	2023	0
fam_MCL48_073242	4	exit=0	481	275	142	64	444	273	273	37	2	2.02	520	0
fam_MCL50_073242	4	exit=0	779	316	32	431	594	290	289	185	26	4.49	369	3
fam_MCL51_073242	3	exit=0	20	0	10	10	13	0	0	7	0	1.42	413	2
fam_MCL53_073242	4	exit=0	1125	51	32	1042	1118	50	49	7	1	1.33	315	2
fam_MCL59_073244	4	exit=0	78	44	31	3	78	44	44	0	0	2.58	237	2
fam_MCL60_073242	2	exit=0	183	183	0	0	183	183	183	0	0	0.32	257	0
fam_MCL61_073242	4	exit=0	9	2	0	7	9	2	2	0	0	0.28	257	2
fam_MCL62_073244	3	exit=0	683	153	100	430	682	153	153	1	0	0.85	172	0
fam_MCL63_073244	4	exit=0	506	6	32	468	506	6	6	0	0	1.98	249	0
fam_MCL65_073244	2	exit=0	17	16	1	0	17	16	16	0	0	0.18	159	1
fam_MCL6_073244	14	exit=0	1617	69	36	1512	1617	69	64	0	0	83.62	2790	0
fam_MCL7_073242	10	exit=0	680	176	451	53	588	167	166	92	9	6.18	914	4
fam_MCL83_073242	3	exit=0	1048	88	135	825	1012	78	72	36	10	1.9	426	0
fam_MCL84_073242	2	exit=0	1025	53	7	965	1017	47	47	8	6	0.8	257	0
fam_MCL85_073242	3	exit=0	2364	226	15	2123	2347	223	223	17	3	1.73	346	3
fam_MCL88_073242	3	exit=0	421	311	31	79	324	310	310	97	1	1.11	257	2
fam_MCL89_073242	3	exit=0	1006	12	47	947	897	9	9	109	3	0.74	257	3
fam_MCL8_073244	3	exit=0	12	2	1	9	12	2	2	0	0	0.48	219	0
