stage_id	chrom	start	end	strand	n_reads	n_junctions	n_nodes	n_edges	n_transfrags	n_transcripts	seed_total	seed_stored	seed_rescued	bundle_bnodes	bundle_read_bnode_links	bundle_color_count	struct_hash	graph_active_transfrags	graph_long_transfrags	graph_pattern_size	graph_hard_boundary_nodes	seed_unwitnessed	seed_zero_flux	seed_low_cov	seed_back_fail	seed_fwd_fail	longrec_back_no_choice	longrec_fwd_no_choice	longrec_back_no_reach	longrec_fwd_no_reach	longrec_back_unreachable	longrec_fwd_unreachable	checktrf_total	checktrf_pre_filter	predcluster_before	predcluster_removed	pairwise_included_kill	pairwise_secontained_kill	pairwise_intronic_kill	pairwise_bettercov_kill	pairwise_other_kill	isofrac_longunder_kill	junction_support_removed	note
bundle_context	NC_073243.2	80025751	80328655	-	164	696	0	0	0	0	0	0	0	0	0	0	14998931931285481495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	detected_bundle
bundle_context	NC_073243.2	80025751	80328655	+	709	5948	0	0	0	0	0	0	0	0	0	0	13391618824921610849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	detected_bundle
region_merge_bundle	NC_073243.2	80025751	80328655	.	873	6644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	keep_strand=0 src_bundle(-/.+/o)=1/0/1/0 src_read(-/.+/o)=164/0/709/0
bundle_partition	NC_073243.2	80025751	80328655	.	873	6644	0	0	0	0	0	0	0	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	post_cgroup_bnodes mode=three_strand cgroup_reads=873 assigned_reads=4 region_reads=873
region_groupflow	NC_073243.2	80025751	80328655	.	873	6644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	region_reads=873 region(-/.+/o)=161/6/706/0 effective(-/.+/o)=161/6/706/0
bundle_context	NC_073243.2	80025751	80202980	+	326	3468	0	0	0	0	0	0	0	15	2920	15	1983349516622761314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	subbundle
graph_evolution	NC_073243.2	80025751	80202980	+	326	49	39	81	68	0	0	0	0	0	0	0	9590873374430990566	68	68	186	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	after_map_reads
seed_flow	NC_073243.2	80025751	80202980	+	326	49	39	81	106	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unwitnessed=0 zero_flux=0 low_cov=0 back_fail=0 fwd_fail=0 longrec_attempted=37 longrec_succeeded=37 longrec_fallback=0 back_no_choice=0 fwd_no_choice=0 back_no_reach=0 fwd_no_reach=0 back_unreachable=0 fwd_unreachable=0
checktrf	NC_073243.2	80025751	80202980	+	326	49	39	81	106	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	checktrf_total=0 rescued=0 pre_filter=5
pairwise_overlap_filter	NC_073243.2	80025751	80202980	+	326	49	39	81	106	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	1	0	0	0	9	0	0	before=20 removed=10 included_drop=1 retained_intron=9
isofrac	NC_073243.2	80025751	80202980	+	326	49	39	81	106	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	5	0	before=10 removed=5 longunder=5
