fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL106_073242	3	exit=0	246	125	2	119	131	50	50	115	75	0.64	257	0
fam_MCL110_073244	2	exit=0	316	0	316	0	316	0	0	0	0	0.58	159	0
fam_MCL111_073244	2	exit=0	66	0	66	0	66	0	0	0	0	3.94	177	0
fam_MCL117_073244	3	exit=0	23	13	8	2	17	13	13	6	0	0.46	158	0
fam_MCL120_073244	2	exit=0	547	0	547	0	547	0	0	0	0	1.71	159	0
fam_MCL121_073244	2	exit=0	878	0	878	0	878	0	0	0	0	0.6	159	0
fam_MCL122_073244	2	exit=0	6	1	1	4	6	1	1	0	0	0.24	159	1
fam_MCL124_073244	3	exit=0	440	0	440	0	440	0	0	0	0	3.2	160	0
fam_MCL141_073241	2	exit=0	766	0	766	0	765	0	0	1	0	6.29	1455	0
fam_MCL145_073241	2	exit=0	202	0	202	0	202	0	0	0	0	0.54	227	2
fam_MCL14_073242	3	exit=0	28	4	15	9	18	3	3	10	1	0.51	257	2
fam_MCL15_073242	3	exit=0	3	3	0	0	1	1	1	2	2	0.94	340	3
fam_MCL171_073242	2	exit=0	435	0	435	0	422	0	0	13	0	0.63	257	2
fam_MCL179_073242	2	exit=0	2	0	0	2	2	0	0	0	0	0.33	257	0
fam_MCL182_073242	2	exit=0	551	412	12	127	105	86	86	446	326	0.57	257	2
fam_MCL186_073242	2	exit=0	1328	872	89	367	1	0	0	1327	872	1.4	257	2
fam_MCL189_073242	2	exit=0	555	0	555	0	555	0	0	0	0	0.77	257	0
fam_MCL1_073242	22	exit=0	943	175	247	521	510	144	143	433	31	28.26	1655	1
fam_MCL20_073242	4	exit=0	1058	0	1058	0	1058	0	0	0	0	0.92	257	0
fam_MCL212_073242	2	exit=0	836	40	743	53	836	40	40	0	0	1.08	257	2
fam_MCL213_073242	2	exit=0	2037	1682	18	337	2037	1682	1682	0	0	1.82	256	0
fam_MCL217_073244	2	exit=0	1	0	0	1	1	0	0	0	0	0.18	158	2
fam_MCL21_073242	6	exit=0	430	101	308	21	340	44	40	90	57	1.87	375	6
fam_MCL226_073244	2	exit=0	638	270	196	172	637	270	270	1	0	1.72	159	0
fam_MCL22_073242	4	exit=0	80	6	72	2	78	4	4	2	2	0.66	257	2
fam_MCL230_073244	2	exit=0	495	4	486	5	495	4	4	0	0	0.53	158	0
fam_MCL235_073244	2	exit=0	106	0	105	1	106	0	0	0	0	1.12	316	0
fam_MCL236_073244	2	exit=0	48	0	48	0	48	0	0	0	0	0.79	176	0
fam_MCL241_073244	2	exit=0	955	619	45	291	955	619	619	0	0	1.21	159	0
fam_MCL247_073244	2	exit=0	130	30	96	4	130	30	30	0	0	0.38	159	0
fam_MCL24_073244	3	exit=0	34	0	33	1	33	0	0	1	0	0.27	159	0
fam_MCL252_073244	2	exit=0	196	0	196	0	196	0	0	0	0	0.27	159	2
fam_MCL253_073244	2	exit=0	19	10	5	4	19	10	10	0	0	0.25	159	0
fam_MCL256_073244	2	exit=0	3	0	3	0	3	0	0	0	0	0.29	159	0
fam_MCL273_073244	2	exit=0	222	106	93	23	222	106	106	0	0	0.48	159	0
fam_MCL27_073242	6	exit=0	393	148	108	137	294	107	106	99	41	2.13	374	5
fam_MCL29_073242	5	exit=0	1824	185	1616	23	1752	120	120	72	65	2.3	331	0
fam_MCL2_073244	2	exit=0	3	2	1	0	3	2	2	0	0	0.29	159	0
fam_MCL30_073244	3	exit=0	463	0	462	1	463	0	0	0	0	17.18	676	0
fam_MCL32_073242	3	exit=0	109	0	109	0	109	0	0	0	0	0.3	257	0
fam_MCL34_073242	3	exit=0	19	18	1	0	15	14	14	4	4	0.22	257	0
fam_MCL36_073244	3	exit=0	32	12	15	5	32	12	12	0	0	0.29	159	2
fam_MCL37_073244	5	exit=0	533	13	500	20	533	13	13	0	0	5.26	225	0
fam_MCL3_073241	2	exit=0	2	0	2	0	2	0	0	0	0	0.64	227	2
fam_MCL3_073242	10	exit=0	121	6	43	72	83	3	3	38	3	4.18	398	5
fam_MCL3_073244	3	exit=0	151	6	136	9	150	6	6	1	0	0.94	159	0
fam_MCL40_073242	3	exit=0	3761	0	3745	16	3697	0	0	64	0	2.01	257	3
fam_MCL42_073242	3	exit=0	374	120	197	57	374	120	120	0	0	0.66	257	0
fam_MCL43_073244	5	exit=0	686	109	528	49	686	109	109	0	0	4.52	278	0
fam_MCL44_073244	4	exit=0	683	6	618	59	610	2	2	73	4	1.06	159	2
fam_MCL4_073244	15	exit=0	1563	20	1531	12	1563	20	20	0	0	23.16	1979	0
fam_MCL51_073242	4	exit=0	375	135	188	52	359	126	113	16	9	2.4	525	0
fam_MCL54_073242	4	exit=0	737	280	407	50	559	172	172	178	108	2.42	337	3
fam_MCL58_073242	3	exit=0	378	16	335	27	320	2	2	58	14	0.75	257	2
fam_MCL61_073242	2	exit=0	2	0	0	2	0	0	0	2	0	0.37	257	2
fam_MCL65_073244	2	exit=0	84	0	84	0	84	0	0	0	0	16.4	533	0
fam_MCL67_073242	2	exit=0	183	170	0	13	183	170	170	0	0	0.4	257	0
fam_MCL68_073242	3	exit=0	7	2	2	3	7	2	2	0	0	0.26	257	0
fam_MCL69_073244	2	exit=0	34	20	5	9	33	20	20	1	0	0.64	159	2
fam_MCL6_073244	7	exit=0	1333	8	1311	14	1333	8	8	0	0	20.77	1263	0
fam_MCL71_073244	2	exit=0	10	0	10	0	10	0	0	0	0	0.18	159	1
fam_MCL75_073241	2	exit=0	1	0	1	0	1	0	0	0	0	0.26	227	0
fam_MCL7_073242	11	exit=0	654	146	243	265	580	142	141	74	4	6.59	798	5
fam_MCL83_073242	2	exit=0	31	10	7	14	31	10	10	0	0	0.38	257	0
fam_MCL86_073242	3	exit=0	920	539	34	347	899	536	535	21	3	1.88	428	0
fam_MCL87_073242	2	exit=0	1018	831	11	176	1010	824	824	8	7	1.54	256	0
fam_MCL88_073242	3	exit=0	2351	1981	11	359	2337	1976	1972	14	5	4.33	343	3
