family_id	copy_idx	tid	chrom	start	end	n_exon	strand	n_reads	exons	source	core_hull	sd_depth	core_bp	nearest_ident	rep_frac
MCL1	0	MCL_NC_073241.2_38631367	NC_073241.2	38631367	38631861	3	+	3	38631367-38631412,38631475-38631748,38631788-38631861	read_chain	38611090-38631866	27	20776	0.9727	0.361
MCL1	1	MCL_NC_073242.2_15558380	NC_073242.2	15558380	15571513	2	+	12	15558380-15558654,15567536-15571513	read_chain	15547393-15571596	28	24203	0.9863	0.111
MCL1	2	MCL_NC_073242.2_16322356	NC_073242.2	16322356	16326386	4	-	8	16322356-16324531,16324573-16324993,16325077-16326272,16326277-16326386	read_chain	16322273-16345951	27	23678	0.9747	0.059
MCL1	3	MCL_NC_073242.2_21074204	NC_073242.2	21074204	21114708	14	-	146	21074204-21074241,21074282-21074951,21075077-21075287,21081752-21082045,21083405-21083441,21083550-21083611,21084640-21084748,21087706-21087902,21088014-21088114,21091742-21091873,21099225-21099356,21101849-21102172,21105363-21105426,21112745-21114708	read_chain	21074204-21099667	27	25463	0.9708	0.392
MCL1	4	MCL_NC_073242.2_21741643	NC_073242.2	21741643	21769436	17	+	33	21741643-21741844,21752557-21752686,21756334-21756434,21756597-21756742,21757304-21759100,21759697-21759805,21760828-21760889,21760998-21761034,21762394-21762686,21762758-21762760,21762777-21763711,21764822-21764843,21764894-21764975,21765026-21765106,21765922-21766084,21766566-21769412,21769422-21769436	read_chain	21744775-21769462	27	24687	0.9650	0.221
MCL1	5	MCL_NC_073242.2_22122647	NC_073242.2	22122647	22136157	11	+	34	22122647-22122792,22126892-22126953,22127062-22127098,22128458-22128676,22131243-22131379,22131418-22131479,22131521-22131708,22131855-22131866,22131969-22132135,22132387-22132517,22132643-22136157	read_chain	22110818-22136211	27	25393	0.9627	0.034
MCL1	6	MCL_NC_073242.2_23065360	NC_073242.2	23065360	23084577	9	-	4	23065360-23070567,23071927-23071963,23072070-23072131,23073148-23073257,23076206-23076351,23076514-23076614,23080217-23080346,23083846-23083943,23084496-23084577	gff_fallback	23065360-23084577	26	19217	0.9708	0.009
MCL1	7	MCL_NC_073242.2_26968104	NC_073242.2	26968104	26997053	13	-	1	26968104-26976397,26977757-26977793,26977902-26977963,26978586-26979430,26982041-26982186,26982349-26982449,26986066-26986249,26989752-26989904,26990413-26990499,26990558-26992716,26992723-26993061,26995897-26996055,26996207-26997053	gff_fallback	26968104-26992293	26	24189	1.0000	0.124
MCL1	8	MCL_NC_073242.2_28370268	NC_073242.2	28370268	28427997	15	-	106	28370268-28377755,28377784-28378394,28378667-28379020,28380380-28380416,28380525-28380586,28384679-28384824,28384987-28385087,28388727-28388856,28405930-28406114,28409495-28409663,28412696-28412873,28416763-28416890,28419823-28419899,28424514-28424597,28427908-28427997	read_chain	28370268-28394918	28	24650	0.9852	0.073
MCL1	9	MCL_NC_073242.2_28995161	NC_073242.2	28995161	29013531	8	-	12	28995161-28999843,29003075-29003085,29003147-29003394,29004754-29004790,29004899-29004958,29009033-29009178,29009341-29009441,29013402-29013531	read_chain	28994976-29019589	27	24613	0.9867	0.044
