fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL106_073242	3	exit=0	249	227	1	21	132	121	121	117	106	3.52	257	0
fam_MCL110_073244	2	exit=0	329	1	327	1	329	1	1	0	0	3.83	211	0
fam_MCL111_073244	2	exit=0	91	0	87	4	91	0	0	0	0	40.11	327	0
fam_MCL117_073244	3	exit=0	26	16	1	9	20	14	14	6	2	0.89	159	0
fam_MCL120_073244	2	exit=0	570	0	551	19	570	0	0	0	0	16.61	171	0
fam_MCL121_073244	2	exit=0	931	0	931	0	930	0	0	1	0	2.52	159	0
fam_MCL122_073244	2	exit=0	7	2	0	5	7	2	2	0	0	0.31	159	1
fam_MCL124_073244	3	exit=0	468	137	281	50	468	137	137	0	0	6.47	227	0
fam_MCL141_073241	2	exit=0	1800	10	1752	38	1795	10	10	5	0	81.07	2119	0
fam_MCL145_073241	2	exit=0	213	0	211	2	213	0	0	0	0	4.61	227	2
fam_MCL14_073242	3	exit=0	31	16	4	11	20	12	12	11	4	1.07	256	2
fam_MCL15_073242	3	exit=0	3	3	0	0	1	1	1	2	2	3.06	340	3
fam_MCL171_073242	2	exit=0	466	148	112	206	434	131	131	32	17	3.77	257	2
fam_MCL179_073242	2	exit=0	2	0	0	2	2	0	0	0	0	2.56	257	0
fam_MCL182_073242	2	exit=0	587	436	1	150	119	95	95	468	341	7.35	257	2
fam_MCL186_073242	2	exit=0	1346	1108	16	222	2	0	0	1344	1108	13.28	294	2
fam_MCL189_073242	2	exit=0	638	5	631	2	638	5	5	0	0	10.26	433	0
fam_MCL1_073242	22	exit=0	1002	480	65	457	531	301	301	471	179	130.99	1693	1
fam_MCL20_073242	4	exit=0	1075	3	1059	13	1075	3	3	0	0	8.76	257	0
fam_MCL212_073242	2	exit=0	871	86	767	18	858	84	84	13	2	4.72	257	2
fam_MCL213_073242	2	exit=0	2049	1801	49	199	2049	1801	1801	0	0	22.56	257	0
fam_MCL217_073244	2	exit=0	1	0	0	1	1	0	0	0	0	0.23	159	2
fam_MCL21_073242	6	exit=0	457	118	292	47	352	42	42	105	76	9.88	374	6
fam_MCL226_073244	2	exit=0	678	410	43	225	677	410	410	1	0	4.02	168	0
fam_MCL22_073242	4	exit=0	82	4	65	13	79	4	4	3	0	3.42	257	2
fam_MCL230_073244	2	exit=0	500	7	484	9	500	7	7	0	0	2.82	159	0
fam_MCL235_073244	2	exit=0	115	5	105	5	115	5	5	0	0	39.4	640	0
fam_MCL236_073244	2	exit=0	50	0	50	0	50	0	0	0	0	33.76	333	0
fam_MCL241_073244	2	exit=0	974	842	15	117	974	842	842	0	0	3.06	159	0
fam_MCL247_073244	2	exit=0	147	95	38	14	147	95	95	0	0	1.05	159	0
fam_MCL24_073244	3	exit=0	60	6	43	11	57	5	5	3	1	3.98	296	0
fam_MCL252_073244	2	exit=0	202	0	200	2	202	0	0	0	0	1.31	159	2
fam_MCL253_073244	2	exit=0	23	11	2	10	23	11	11	0	0	0.42	159	0
fam_MCL256_073244	2	exit=0	3	2	0	1	3	2	2	0	0	0.46	159	0
fam_MCL273_073244	2	exit=0	223	169	13	41	223	169	169	0	0	1.23	159	0
fam_MCL27_073242	6	exit=0	417	83	19	315	304	62	62	113	21	21.06	364	5
fam_MCL29_073242	5	exit=0	1895	130	1487	278	1778	129	129	117	1	24.75	467	0
fam_MCL2_073244	2	exit=0	3	2	0	1	3	2	2	0	0	0.48	159	0
fam_MCL30_073244	3	exit=0	496	160	263	73	496	160	160	0	0	148.96	1008	0
fam_MCL32_073242	3	exit=0	111	3	106	2	111	3	3	0	0	8.37	257	0
fam_MCL34_073242	3	exit=0	19	18	0	1	15	14	14	4	4	0.32	257	0
fam_MCL36_073244	3	exit=0	47	24	20	3	47	24	24	0	0	0.77	159	2
fam_MCL37_073244	5	exit=0	575	321	19	235	575	321	321	0	0	56.85	744	0
fam_MCL3_073241	2	exit=0	2	0	0	2	2	0	0	0	0	3.23	391	2
fam_MCL3_073242	10	exit=0	143	33	46	64	98	27	27	45	6	116.79	1347	5
fam_MCL3_073244	3	exit=0	154	4	138	12	153	4	4	1	0	3.27	541	0
fam_MCL40_073242	3	exit=0	3896	21	3780	95	3786	8	8	110	13	78.96	524	3
fam_MCL42_073242	3	exit=0	383	170	197	16	383	170	170	0	0	2.72	257	0
fam_MCL43_073244	5	exit=0	713	228	448	37	713	228	228	0	0	118.25	736	0
fam_MCL44_073244	4	exit=0	704	60	592	52	624	24	24	80	36	11.25	191	2
