fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL101_073244	3	exit=0	14	8	4	2	14	8	6	0	0	8.47	605	0
fam_MCL102_073244	3	exit=0	0	0	0	0	0	0	0	0	0	0.2	159	0
fam_MCL103_073244	3	exit=0	0	0	0	0	0	0	0	0	0	0.34	159	0
fam_MCL104_073244	3	exit=0	1	1	0	0	1	1	1	0	0	0.26	159	0
fam_MCL105_073244	3	exit=0	26	2	2	22	20	1	1	6	1	0.43	159	0
fam_MCL106_073244	2	exit=0	0	0	0	0	0	0	0	0	0	0.21	159	0
fam_MCL107_073244	3	exit=0	0	0	0	0	0	0	0	0	0	0.2	159	0
fam_MCL108_073244	3	exit=0	6	3	3	0	6	3	3	0	0	0.22	159	2
fam_MCL10_073244	10	exit=0	1376	72	146	1158	1376	72	70	0	0	15.23	1603	0
fam_MCL110_073244	3	exit=0	464	419	8	37	464	419	419	0	0	0.94	165	0
fam_MCL12_073242	8	exit=0	0	0	0	0	0	0	0	0	0	1.03	315	4
fam_MCL15_073242	6	exit=0	82	72	0	10	79	69	69	3	3	0.75	257	3
fam_MCL16_073242	9	exit=0	3	0	1	2	1	0	0	2	0	1.52	518	5
fam_MCL17_073241	9	exit=0	0	0	0	0	0	0	0	0	0	0.66	227	7
fam_MCL19_073241	8	exit=0	0	0	0	0	0	0	0	0	0	1.08	349	8
fam_MCL20_073241	8	exit=0	1	0	1	0	0	0	0	1	0	0.76	258	6
fam_MCL22_073244	5	exit=0	0	0	0	0	0	0	0	0	0	0.22	159	0
fam_MCL23_073244	8	exit=0	61	30	22	9	58	30	30	3	0	0.37	159	0
fam_MCL24_073244	8	exit=0	0	0	0	0	0	0	0	0	0	0.18	159	7
fam_MCL25_073241	7	exit=0	0	0	0	0	0	0	0	0	0	0.57	227	6
fam_MCL26_073241	6	exit=0	0	0	0	0	0	0	0	0	0	0.95	288	6
fam_MCL28_073244	3	exit=0	5	3	0	2	5	3	3	0	0	1.39	189	1
fam_MCL29_073242	5	exit=0	19	0	0	19	15	0	0	4	0	0.25	257	0
fam_MCL2_073244	36	exit=0	3	3	0	0	3	3	3	0	0	0.42	159	32
fam_MCL30_073242	6	exit=0	0	0	0	0	0	0	0	0	0	1.76	257	6
fam_MCL31_073244	6	exit=0	0	0	0	0	0	0	0	0	0	14.13	812	2
fam_MCL32_073244	6	exit=0	27	23	0	4	27	23	3	0	0	0.28	159	2
fam_MCL34_073244	4	exit=0	117	11	16	90	117	11	11	0	0	6.34	575	0
fam_MCL35_073242	5	exit=0	112	13	3	96	109	13	13	3	0	0.61	257	0
fam_MCL36_073242	5	exit=0	383	189	8	186	383	189	189	0	0	2.73	257	0
fam_MCL37_073244	5	exit=0	661	400	18	243	661	400	399	0	0	2.34	325	0
fam_MCL38_073244	4	exit=0	497	366	25	106	432	310	119	65	56	0.56	178	2
fam_MCL39_073244	4	exit=0	4	1	3	0	4	1	1	0	0	0.5	170	0
fam_MCL3_073242	23	exit=0	994	89	101	804	529	76	75	465	13	27.55	2045	0
fam_MCL40_073241	4	exit=0	0	0	0	0	0	0	0	0	0	0.36	227	4
fam_MCL41_073241	4	exit=0	0	0	0	0	0	0	0	0	0	0.56	227	4
fam_MCL43_073242	4	exit=0	0	0	0	0	0	0	0	0	0	0.48	257	2
fam_MCL44_073244	3	exit=0	1	1	0	0	1	1	1	0	0	0.48	159	0
fam_MCL45_073244	2	exit=0	1	0	1	0	1	0	0	0	0	0.2	159	0
fam_MCL46_073244	2	exit=0	0	0	0	0	0	0	0	0	0	0.22	159	1
fam_MCL47_073244	2	exit=0	41	31	10	0	36	30	30	5	1	0.41	159	0
