read	mapq	anchor	verdict	anchor_hit	alternatives
SRR27438212.4045859	11	0	valid-anchor	(('0', 14, 2, 1.0), [])
SRR27178663.1690333	44	1	valid-anchor	(('1', 7, 4, 1.0), [])
SRR27438212.8643966	24	1	valid-anchor	(('1', 27, 1, 1.0), [])
SRR27178663.248836	6	2	ambiguous-anchor	(('2', 103, 5, 0.99), [('20', 102, 5, 0.99), ('12', 104, 5, 0.99), ('22', 104, 5, 1.0)])
SRR27178663.1564864	1	2	valid-anchor	(('2', 64, 7, 0.8), [])
SRR27178663.1762905	24	2	valid-anchor	(('2', 86, 6, 0.96), [])
SRR27438212.1779847	3	2	ambiguous-anchor	(('2', 56, 5, 0.89), [('4', 58, 5, 0.9)])
SRR27438212.2546059	10	2	valid-anchor	(('2', 65, 7, 0.89), [])
SRR27438212.3106980	1	2	valid-anchor	(('2', 65, 7, 0.81), [])
SRR27438212.3473752	1	2	valid-anchor	(('2', 64, 7, 0.7), [])
SRR27438212.4035282	10	2	valid-anchor	(('2', 64, 7, 0.94), [])
SRR27438212.4358216	10	2	valid-anchor	(('2', 64, 7, 0.93), [])
SRR27438212.5279475	10	2	valid-anchor	(('2', 65, 7, 0.91), [])
SRR27438212.6435430	1	2	valid-anchor	(('2', 64, 7, 0.66), [])
SRR27438212.6465111	10	2	valid-anchor	(('2', 65, 7, 0.95), [])
SRR27438212.6585667	24	2	valid-anchor	(('2', 86, 6, 0.95), [])
SRR27438212.6967524	1	2	valid-anchor	(('2', 64, 7, 0.88), [])
SRR27438212.7284728	1	2	valid-anchor	(('2', 68, 7, 0.75), [])
SRR27438212.8491955	1	2	ambiguous-anchor	(('2', 79, 7, 0.98), [('4', 81, 7, 0.99), ('6', 78, 7, 1.0)])
SRR27438212.8927755	1	2	valid-anchor	(('2', 64, 7, 0.84), [])
SRR27438212.9129838	1	2	valid-anchor	(('2', 64, 7, 0.82), [])
SRR27438212.9131525	1	2	valid-anchor	(('2', 64, 7, 0.88), [])
SRR27438212.9436692	9	2	ambiguous-anchor	(('2', 72, 7, 0.91), [('22', 71, 7, 0.92), ('21', 71, 7, 0.92), ('20', 71, 7, 0.91)])
