NC_073224.2	5448030	5463434	-	LOC129532372	lncRNA
NC_073224.2	5567033	5584530	-	LOC101144634	protein_coding
NC_073224.2	5573405	5573511	+	LOC115933513	snRNA
NC_073224.2	5616433	5616505	-	TRNAE-CUC	tRNA
NC_073224.2	5616794	5616900	-	TRNAL-CAA	tRNA
NC_073224.2	5631659	5640790	+	ZNF692	protein_coding
NC_073224.2	5641278	5653127	-	ZNF672	protein_coding
NC_073224.2	5665228	5681321	+	SH3BP5L	protein_coding
NC_073224.2	5714273	5714379	-	LOC115933511	snRNA
NC_073224.2	5714886	5720749	+	LOC115930073	protein_coding
NC_073224.2	5792088	5811058	+	LYPD8	protein_coding
NC_073224.2	5849198	5857947	+	LOC109025062	protein_coding
NC_073224.2	5866864	5891697	+	LOC101141950	protein_coding
NC_073224.2	5876005	5878134	-	LOC115931063	protein_coding
NC_073224.2	5912839	5920769	+	LOC129532335	protein_coding
NC_073224.2	5929231	5930206	+	LOC101141204	protein_coding
NC_073224.2	5941134	5942085	+	LOC101140827	protein_coding
NC_073224.2	5974966	5975982	+	LOC101140436	protein_coding
NC_073224.2	6015128	6021677	-	LOC101139491	protein_coding
NC_073224.2	6032726	6033683	-	LOC101140082	protein_coding
NC_073224.2	6049137	6050986	+	LOC129532332	lncRNA
NC_073224.2	6049373	6056562	-	LOC115932969	protein_coding
NC_073224.2	6085402	6086354	-	LOC129532330	protein_coding
NC_073224.2	6097321	6098296	-	LOC115931420	protein_coding
NC_073224.2	6109018	6109972	-	LOC101141577	protein_coding
NC_073224.2	6141844	6148672	-	LOC101139122	protein_coding
NC_073224.2	6159908	6175887	-	LOC101138755	protein_coding
NC_073224.2	6189021	6189984	-	LOC101138400	protein_coding
NC_073224.2	6222733	6223672	-	LOC101136561	protein_coding
NC_073224.2	6246671	6247595	-	LOC101138020	protein_coding
NC_073224.2	6271773	6272712	+	LOC109029255	protein_coding
NC_073224.2	6293345	6306638	+	LOC101131889	protein_coding
NC_073224.2	6345243	6358817	-	LOC101137288	protein_coding
NC_073224.2	6386181	6387120	-	LOC101136923	protein_coding
NC_073224.2	6569181	6570815	-	LOC134758300	lncRNA
NC_073224.2	6616902	6772848	-	LOC101148918	protein_coding
NC_073224.2	6779047	6784355	+	LOC129532316	lncRNA
NC_073224.2	6826724	6852932	+	LOC101124243	protein_coding
NC_073224.2	6834985	7075568	-	LOC134758591	protein_coding
NC_073224.2	7081053	7083998	+	LOC129532311	lncRNA
NC_073224.2	7246323	7252589	-	LOC101136189	protein_coding
NC_073224.2	7319586	7495768	-	LOC101134056	protein_coding
NC_073224.2	7337891	7339482	+	LOC109029274	protein_coding
NC_073224.2	7357977	7362320	-	LOC101132260	protein_coding
NC_073224.2	7383602	7385568	-	LOC101133713	protein_coding
NC_073224.2	7398859	7409458	-	LOC101131530	protein_coding
NC_073224.2	7419010	7419949	-	LOC101132985	protein_coding
NC_073224.2	7456282	7457908	-	LOC101134411	protein_coding
NC_073224.2	7472224	7474339	-	LOC101133349	protein_coding
