fam_id	member
0	DN_NC_073239.2_80703247_25
0	DN_NC_073239.2_80754325_40
0	DN_NC_073239.2_80754326_23
0	DN_NC_073239.2_80754327_38
0	DN_NC_073239.2_80754332_16
0	DN_NC_073239.2_80754332_19
0	DN_NC_073239.2_80754335_18
0	DN_NC_073239.2_80754339_16
0	DN_NC_073239.2_80754360_18
0	DN_NC_073239.2_80754365_16
0	DN_NC_073239.2_80754365_23
0	DN_NC_073239.2_80754367_25
0	DN_NC_073239.2_80754372_19
0	DN_NC_073239.2_80754375_23
0	DN_NC_073239.2_80754376_24
0	DN_NC_073239.2_80754382_14
0	DN_NC_073239.2_80754382_22
0	DN_NC_073239.2_80754382_32
0	DN_NC_073239.2_80754383_48
0	DN_NC_073239.2_80754386_15
0	DN_NC_073239.2_80754656_23
0	DN_NC_073239.2_80754661_18
0	DN_NC_073239.2_80754661_23
0	DN_NC_073239.2_80810900_22
0	DN_NC_073239.2_80811047_17
0	DN_NC_073239.2_80844110_19
0	DN_NC_073239.2_80851903_17
0	DN_NC_073239.2_80856806_16
0	DN_NC_073239.2_80869815_13
0	DN_NC_073239.2_80878838_12
0	DN_NC_073239.2_80881134_10
0	DN_NC_073239.2_80883270_15
0	DN_NC_073239.2_80883270_23
0	DN_NC_073239.2_80883270_8
0	DN_NC_073239.2_80883301_25
0	DN_NC_073239.2_80884940_32
0	DN_NC_073239.2_80886076_31
0	DN_NC_073239.2_80892712_19
0	DN_NC_073239.2_80892712_21
0	DN_NC_073239.2_80893282_20
0	DN_NC_073239.2_80896114_17
0	DN_NC_073239.2_80896136_19
0	DN_NC_073239.2_80897352_16
0	DN_NC_073239.2_80899258_15
0	DN_NC_073239.2_80899306_22
0	DN_NC_073239.2_80899592_24
0	DN_NC_073239.2_80899682_13
0	DN_NC_073239.2_80899897_15
0	DN_NC_073239.2_80900009_23
0	DN_NC_073239.2_80901207_12
0	DN_NC_073239.2_80901207_19
0	DN_NC_073239.2_80901215_22
0	DN_NC_073239.2_80902851_11
0	DN_NC_073239.2_80902867_21
0	DN_NC_073239.2_80902898_13
0	DN_NC_073239.2_80904217_20
0	DN_NC_073239.2_80905004_19
0	DN_NC_073239.2_80905010_11
0	DN_NC_073239.2_80905011_16
0	DN_NC_073239.2_80909317_15
0	DN_NC_073239.2_80909327_18
0	DN_NC_073239.2_80912255_17
0	DN_NC_073239.2_80918621_16
0	DN_NC_073239.2_80919739_15
0	DN_NC_073239.2_80922145_14
0	DN_NC_073239.2_80923456_13
0	DN_NC_073239.2_80924012_12
0	DN_NC_073239.2_80926390_10
0	DN_NC_073239.2_80927058_9
0	DN_NC_073239.2_80927263_8
0	DN_NC_073239.2_80927276_15
0	DN_NC_073239.2_80928727_7
0	DN_NC_073239.2_80929626_13
0	DN_NC_073239.2_80929641_6
0	DN_NC_073239.2_80932070_5
0	DN_NC_073239.2_80933198_4
0	DN_NC_073239.2_80933227_11
0	DN_NC_073239.2_80933322_10
0	DN_NC_073239.2_80948381_3
0	DN_NC_073239.2_80949980_9
0	DN_NC_073239.2_80950082_12
0	DN_NC_073239.2_80951941_8
0	DN_NC_073239.2_80951946_15
0	DN_NC_073239.2_80951983_7
0	DN_NC_073239.2_80952057_11
0	DN_NC_073239.2_80952262_12
0	DN_NC_073239.2_80976137_37
0	DN_NC_073239.2_80976173_32
0	DN_NC_073239.2_81025431_15
0	DN_NC_073239.2_81025437_20
0	DN_NC_073239.2_81034422_38
0	DN_NC_073239.2_81044177_33
0	DN_NC_073239.2_81052919_31
0	DN_NC_073239.2_81058953_30
0	DN_NC_073239.2_81059606_29
0	DN_NC_073239.2_81059620_14
0	DN_NC_073239.2_81059628_29
0	DN_NC_073239.2_81062392_28
0	DN_NC_073239.2_81063765_27
0	DN_NC_073239.2_81067599_25
0	DN_NC_073239.2_81067887_24
0	DN_NC_073239.2_81070574_22
0	DN_NC_073239.2_81075288_21
0	DN_NC_073239.2_81077685_20
0	DN_NC_073239.2_81086398_19
0	DN_NC_073239.2_81086409_19
0	DN_NC_073239.2_81086413_19
0	DN_NC_073239.2_81086413_20
0	DN_NC_073239.2_81086451_19
0	DN_NC_073239.2_81088628_18
0	DN_NC_073239.2_81088632_19
