transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.6782.1	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.2	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.3	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.4	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.5	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.6	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.7	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.8	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.9	NC_073230.2	101602522	101646820	777	0	0	
STRG.6782.10	NC_073230.2	101602522	101646311	768	0	0	
STRG.6782.11	NC_073230.2	101602522	101646820	777	0	0	
