transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.8804.1	NC_073233.2	17240330	17246570	347	0	0	
STRG.8804.2	NC_073233.2	17241208	17246570	347	0	0	
STRG.8804.3	NC_073233.2	17241208	17246570	347	0	0	
STRG.8804.4	NC_073233.2	17241208	17246570	347	0	0	
STRG.8805.1	NC_073233.2	17245555	17271448	409	0	0	
STRG.8805.2	NC_073233.2	17245555	17271448	409	0	0	
STRG.8805.3	NC_073233.2	17245555	17301106	414	0	0	
STRG.8805.4	NC_073233.2	17245951	17271448	407	0	0	
STRG.8805.5	NC_073233.2	17245951	17301106	412	0	0	
STRG.8805.6	NC_073233.2	17245951	17290150	409	0	0	
STRG.8805.7	NC_073233.2	17245951	17290150	409	0	0	
STRG.8805.8	NC_073233.2	17245951	17301106	412	0	0	
STRG.8805.9	NC_073233.2	17245951	17290150	409	0	0	
STRG.8805.10	NC_073233.2	17245951	17301106	412	0	0	
