transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.2136.1	NC_086017.1	56891419	57040906	367	0	0	
STRG.2136.2	NC_086017.1	56891419	57041990	400	0	0	
STRG.2136.3	NC_086017.1	56891419	57041990	400	0	0	
STRG.2136.4	NC_086017.1	56891419	56955929	271	0	0	
STRG.2137.1	NC_086017.1	57040966	57115761	96	0	0	
STRG.2137.2	NC_086017.1	57040966	57115761	96	0	0	
STRG.2137.3	NC_086017.1	57040966	57115761	96	0	0	
STRG.2137.4	NC_086017.1	57040966	57115761	96	0	0	
STRG.2137.5	NC_086017.1	57040966	57115761	96	0	0	
STRG.2137.6	NC_086017.1	57040966	57115761	96	0	0	
