transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.3780.1	NC_073227.2	212285001	212300836	19	19	1	copy0
STRG.7836.1	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.7836.2	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.7836.3	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.7836.4	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.7836.5	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.7836.6	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.7836.7	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.7836.8	NC_073231.2	151170130	151185973	27	27	1	copy1
STRG.10593.1	NC_073235.2	15131688	15149262	29	29	1	copy2
STRG.10593.2	NC_073235.2	15131688	15149262	29	29	1	copy2
STRG.10593.3	NC_073235.2	15131688	15149262	29	29	1	copy2
STRG.10593.4	NC_073235.2	15131688	15149262	29	29	1	copy2
STRG.10593.5	NC_073235.2	15131688	15149262	29	29	1	copy2
STRG.10593.6	NC_073235.2	15131688	15149262	29	29	1	copy2
STRG.19326.1	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.2	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.3	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.4	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.5	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.6	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.7	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.8	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.9	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.10	NC_073247.2	167706455	167723238	72	69	1	copy3
STRG.19326.11	NC_073247.2	167715436	167723238	65	64	1	copy3
STRG.19327.1	NC_073247.2	167723256	167732197	8	0	0	
STRG.19327.2	NC_073247.2	167723256	167732197	8	0	0	
STRG.18554.1	NC_086018.1	48818440	48832340	48	48	1	copy4
STRG.18554.2	NC_086018.1	48818440	48832340	48	48	1	copy4
STRG.18554.3	NC_086018.1	48818440	48832340	48	48	1	copy4
STRG.18554.4	NC_086018.1	48818440	48832340	48	48	1	copy4
STRG.18554.5	NC_086018.1	48818440	48832340	48	48	1	copy4
STRG.18554.6	NC_086018.1	48818440	48832340	48	48	1	copy4
STRG.18554.7	NC_086018.1	48818440	48832340	48	48	1	copy4
STRG.18554.8	NC_086018.1	48818440	48832340	48	48	1	copy4
