transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.968.1	NC_073224.2	129190709	129198956	47	38	1	copy0
STRG.968.2	NC_073224.2	129190709	129198956	47	38	1	copy0
STRG.968.3	NC_073224.2	129190709	129198956	47	38	1	copy0
STRG.969.1	NC_073224.2	129200462	129203100	54	0	0	
STRG.970.1	NC_073224.2	129216298	129222198	1074	1049	1	copy1
STRG.970.2	NC_073224.2	129216298	129222198	1074	1049	1	copy1
STRG.970.3	NC_073224.2	129216298	129222198	1074	1049	1	copy1
STRG.970.4	NC_073224.2	129216298	129222198	1074	1049	1	copy1
STRG.970.5	NC_073224.2	129216298	129222198	1074	1049	1	copy1
STRG.970.6	NC_073224.2	129216298	129222198	1074	1049	1	copy1
STRG.971.1	NC_073224.2	129295720	129435647	146	0	0	
STRG.971.2	NC_073224.2	129295720	129435647	146	0	0	
STRG.971.3	NC_073224.2	129295720	129360621	26	0	0	
STRG.971.4	NC_073224.2	129295720	129360621	26	0	0	
STRG.971.5	NC_073224.2	129394958	129435647	130	0	0	
STRG.972.1	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.2	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.3	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.4	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.5	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.6	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.7	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.8	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.9	NC_073224.2	130406469	130425491	171	114	1	copy4
STRG.972.10	NC_073224.2	130419879	130425491	117	114	1	copy4
STRG.972.11	NC_073224.2	130419879	130425491	117	114	1	copy4
STRG.972.12	NC_073224.2	130419879	130425491	117	114	1	copy4
STRG.1004.1	NC_073224.2	129918126	129995154	29	0	0	
STRG.1004.2	NC_073224.2	129970071	129995154	27	0	0	
STRG.1005.1	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.2	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.3	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.4	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.5	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.6	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.7	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.8	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.9	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.10	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.11	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.12	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.13	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.14	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.15	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.16	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.17	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.18	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.19	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.20	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.21	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.22	NC_073224.2	130013706	130080187	406	0	0	
STRG.1005.23	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.24	NC_073224.2	130013706	130080047	406	0	0	
STRG.1005.25	NC_073224.2	130031419	130080047	367	0	0	
STRG.1005.26	NC_073224.2	130031419	130080047	367	0	0	
STRG.1005.27	NC_073224.2	130031419	130080047	367	0	0	
STRG.1005.28	NC_073224.2	130055277	130060318	287	0	0	
STRG.1006.1	NC_073224.2	130160572	130181849	815	0	0	
STRG.1006.2	NC_073224.2	130160572	130181849	815	0	0	
STRG.1006.3	NC_073224.2	130160572	130181849	815	0	0	
STRG.1007.1	NC_073224.2	130222249	130304837	154	0	0	
STRG.1007.2	NC_073224.2	130222249	130257014	135	0	0	
STRG.1007.3	NC_073224.2	130222249	130265993	139	0	0	
STRG.1007.4	NC_073224.2	130222249	130274209	142	0	0	
STRG.1007.5	NC_073224.2	130222249	130305102	158	0	0	
STRG.1007.6	NC_073224.2	130222249	130274209	142	0	0	
STRG.1007.7	NC_073224.2	130222249	130303823	154	0	0	
STRG.1007.8	NC_073224.2	130222249	130274209	142	0	0	
STRG.1007.9	NC_073224.2	130224806	130257149	131	0	0	
STRG.1007.10	NC_073224.2	130224806	130274209	138	0	0	
STRG.1007.11	NC_073224.2	130224806	130274209	138	0	0	
STRG.1007.12	NC_073224.2	130224806	130257149	131	0	0	
STRG.1007.13	NC_073224.2	130264318	130305102	54	0	0	
STRG.1007.14	NC_073224.2	130287304	130304137	25	0	0	
STRG.1008.1	NC_073224.2	130305071	130333862	51	0	0	
STRG.1008.2	NC_073224.2	130305071	130326893	43	0	0	
STRG.1008.3	NC_073224.2	130305071	130377086	215	0	0	
STRG.1008.4	NC_073224.2	130305071	130377196	215	0	0	
STRG.1008.5	NC_073224.2	130305071	130374713	215	0	0	
STRG.1008.6	NC_073224.2	130305071	130333862	51	0	0	
STRG.1008.7	NC_073224.2	130305071	130377086	215	0	0	
STRG.1008.8	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.9	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.10	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.11	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.12	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.13	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.14	NC_073224.2	130335854	130377196	184	0	0	
STRG.1008.15	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.16	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.17	NC_073224.2	130335854	130374713	184	0	0	
STRG.1008.18	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.19	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.20	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.21	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.22	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.23	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.24	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.25	NC_073224.2	130335854	130377196	184	0	0	
STRG.1008.26	NC_073224.2	130335854	130377196	184	0	0	
STRG.1008.27	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.28	NC_073224.2	130335854	130377196	184	0	0	
STRG.1008.29	NC_073224.2	130335854	130377086	184	0	0	
STRG.1008.30	NC_073224.2	130335854	130377196	184	0	0	
STRG.1008.31	NC_073224.2	130338030	130377086	184	0	0	
STRG.7566.1	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.2	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.3	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.4	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.5	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.6	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.7	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.8	NC_073231.2	95446339	95617235	143	36	1	copy5
STRG.7566.9	NC_073231.2	95579528	95617235	130	36	1	copy5
STRG.7567.1	NC_073231.2	95616299	95650344	129	36	1	copy5
STRG.7567.2	NC_073231.2	95616299	95650344	129	36	1	copy5
STRG.7567.3	NC_073231.2	95616299	95650344	129	36	1	copy5
