transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.8362.1	NC_073232.2	103968758	103973915	314	0	0	
STRG.8362.2	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.3	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.4	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.5	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.6	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.7	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.8	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.9	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.10	NC_073232.2	103968758	104142185	403	0	0	
STRG.8362.11	NC_073232.2	103968758	104142185	403	0	0	
STRG.8363.1	NC_073232.2	104141628	104206948	211	0	0	
STRG.8363.2	NC_073232.2	104141628	104206948	211	0	0	
STRG.8363.3	NC_073232.2	104141628	104206948	211	0	0	
STRG.8363.4	NC_073232.2	104142711	104206948	201	0	0	
STRG.8363.5	NC_073232.2	104142711	104206948	201	0	0	
