transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.5164.1	NC_073229.2	21341478	21370346	12	0	0	
STRG.5164.2	NC_073229.2	21341478	21372650	14	0	0	
STRG.5166.1	NC_073229.2	21212092	21214122	18	0	0	
STRG.5167.1	NC_073229.2	21250490	21339080	92	0	0	
STRG.5167.2	NC_073229.2	21250490	21339080	92	0	0	
STRG.5167.3	NC_073229.2	21259001	21339080	91	0	0	
STRG.5167.4	NC_073229.2	21267404	21339080	88	0	0	
STRG.5167.5	NC_073229.2	21273879	21339080	85	0	0	
STRG.5167.6	NC_073229.2	21328950	21339080	76	0	0	
STRG.5167.7	NC_073229.2	21328950	21339080	76	0	0	
STRG.5167.8	NC_073229.2	21328950	21339080	76	0	0	
STRG.5167.9	NC_073229.2	21328950	21339080	76	0	0	
