transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.4726.1	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.2	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.3	NC_073228.2	97732816	97739266	113	0	0	
STRG.4726.4	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.5	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.6	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.7	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.8	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.9	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.10	NC_073228.2	97732816	98229193	205	0	0	
STRG.4726.11	NC_073228.2	97732816	98229193	205	0	0	
STRG.4727.1	NC_073228.2	98228758	98283087	114	0	0	
