transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.12902.1	NC_073238.2	41872683	41946204	98	0	0	
STRG.12902.2	NC_073238.2	41872683	41946204	98	0	0	
STRG.12902.3	NC_073238.2	41872683	41946204	98	0	0	
STRG.12902.4	NC_073238.2	41872683	41946204	98	0	0	
STRG.12902.5	NC_073238.2	41872683	41946204	98	0	0	
STRG.12903.1	NC_073238.2	41946313	41992987	131	0	0	
STRG.12903.2	NC_073238.2	41946313	41992987	131	0	0	
STRG.12903.3	NC_073238.2	41946313	41992987	131	0	0	
STRG.12903.4	NC_073238.2	41947369	41992987	130	0	0	
STRG.12903.5	NC_073238.2	41947369	41950305	115	0	0	
