transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.5961.1	NC_073229.2	155339522	155491801	488	466	2	copy0,copy1
STRG.5961.2	NC_073229.2	155339718	155491801	487	465	2	copy0,copy1
STRG.5961.3	NC_073229.2	155339718	155491801	487	465	2	copy0,copy1
STRG.5961.4	NC_073229.2	155339718	155491801	487	465	2	copy0,copy1
STRG.5961.5	NC_073229.2	155339718	155491801	487	465	2	copy0,copy1
STRG.5961.6	NC_073229.2	155339718	155491801	487	465	2	copy0,copy1
STRG.5961.7	NC_073229.2	155339718	155491801	487	465	2	copy0,copy1
STRG.5961.8	NC_073229.2	155339718	155491801	487	465	2	copy0,copy1
STRG.5961.9	NC_073229.2	155371120	155491801	481	463	2	copy0,copy1
STRG.5961.10	NC_073229.2	155371120	155491801	481	463	2	copy0,copy1
STRG.5961.11	NC_073229.2	155457474	155491801	448	443	1	copy1
