transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.2561.1	NC_086017.1	140746757	140798273	220	0	0	
STRG.2561.2	NC_086017.1	140746757	140798273	220	0	0	
STRG.2561.3	NC_086017.1	140746757	140781024	220	0	0	
STRG.2561.4	NC_086017.1	140746757	140749969	218	0	0	
STRG.2561.5	NC_086017.1	140746757	140769951	220	0	0	
STRG.2561.6	NC_086017.1	140746757	140776054	220	0	0	
STRG.2561.7	NC_086017.1	140746757	140798273	220	0	0	
STRG.2561.8	NC_086017.1	140746757	140753162	220	0	0	
STRG.2561.9	NC_086017.1	140746757	140762830	220	0	0	
STRG.2561.10	NC_086017.1	140746757	140762830	220	0	0	
STRG.2561.11	NC_086017.1	140746757	140775725	220	0	0	
STRG.2561.12	NC_086017.1	140746757	140753162	220	0	0	
