transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.2370.1	NC_086017.1	108627630	108754970	384	0	0	
STRG.2370.2	NC_086017.1	108627630	108754970	384	0	0	
STRG.2370.3	NC_086017.1	108628021	108754970	384	0	0	
STRG.2370.4	NC_086017.1	108628021	108754970	384	0	0	
STRG.2371.1	NC_086017.1	108747835	108782434	310	0	0	
STRG.2371.2	NC_086017.1	108754239	108782434	302	0	0	
STRG.2371.3	NC_086017.1	108754239	108782434	302	0	0	
STRG.2371.4	NC_086017.1	108754239	108782434	302	0	0	
STRG.2371.5	NC_086017.1	108754239	108782434	302	0	0	
STRG.2371.6	NC_086017.1	108754239	108782434	302	0	0	
STRG.2371.7	NC_086017.1	108754239	108782434	302	0	0	
