transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.3076.1	NC_073227.2	23868466	23893927	49	0	0	
STRG.3076.2	NC_073227.2	23879650	23893927	39	0	0	
STRG.3076.3	NC_073227.2	23879650	23893927	39	0	0	
STRG.3077.1	NC_073227.2	23893495	23902653	304	0	0	
STRG.3077.2	NC_073227.2	23893495	23902653	304	0	0	
STRG.3077.3	NC_073227.2	23893495	23901312	303	0	0	
STRG.3077.4	NC_073227.2	23893495	23902653	304	0	0	
STRG.3077.5	NC_073227.2	23893495	23902653	304	0	0	
STRG.3077.6	NC_073227.2	23893495	23901312	303	0	0	
STRG.3077.7	NC_073227.2	23893495	23901312	303	0	0	
STRG.3077.8	NC_073227.2	23893495	23901312	303	0	0	
STRG.3077.9	NC_073227.2	23893495	23901312	303	0	0	
STRG.3077.10	NC_073227.2	23893495	23902653	304	0	0	
STRG.3077.11	NC_073227.2	23893998	23901312	285	0	0	
STRG.3077.12	NC_073227.2	23893998	23902653	286	0	0	
STRG.6764.1	NC_073230.2	89256115	89274413	110	0	0	
STRG.6764.2	NC_073230.2	89256115	89274413	110	0	0	
STRG.6764.3	NC_073230.2	89256115	89274413	110	0	0	
STRG.6764.4	NC_073230.2	89256115	89274413	110	0	0	
STRG.6764.5	NC_073230.2	89256115	89274413	110	0	0	
STRG.6764.6	NC_073230.2	89256115	89274413	110	0	0	
STRG.6764.7	NC_073230.2	89257024	89274413	107	0	0	
STRG.6765.1	NC_073230.2	89273930	89286878	188	0	0	
STRG.6765.2	NC_073230.2	89279863	89286878	106	0	0	
