transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.968.1	NC_073224.2	129190709	129198956	47	0	0	
STRG.968.2	NC_073224.2	129190709	129198956	47	0	0	
STRG.968.3	NC_073224.2	129190709	129198956	47	0	0	
STRG.969.1	NC_073224.2	129200462	129203100	54	0	0	
STRG.970.1	NC_073224.2	129216298	129222198	1074	0	0	
STRG.970.2	NC_073224.2	129216298	129222198	1074	0	0	
STRG.970.3	NC_073224.2	129216298	129222198	1074	0	0	
STRG.970.4	NC_073224.2	129216298	129222198	1074	0	0	
STRG.970.5	NC_073224.2	129216298	129222198	1074	0	0	
STRG.970.6	NC_073224.2	129216298	129222198	1074	0	0	
STRG.971.1	NC_073224.2	129295720	129435647	146	0	0	
STRG.971.2	NC_073224.2	129295720	129435647	146	0	0	
STRG.971.3	NC_073224.2	129295720	129360621	26	0	0	
STRG.971.4	NC_073224.2	129295720	129360621	26	0	0	
STRG.971.5	NC_073224.2	129394958	129435647	130	0	0	
STRG.972.1	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.2	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.3	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.4	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.5	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.6	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.7	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.8	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.9	NC_073224.2	130406469	130425491	171	0	0	
STRG.972.10	NC_073224.2	130419879	130425491	117	0	0	
STRG.972.11	NC_073224.2	130419879	130425491	117	0	0	
STRG.972.12	NC_073224.2	130419879	130425491	117	0	0	
STRG.973.1	NC_073224.2	130571968	130577481	31	0	0	
STRG.973.2	NC_073224.2	130572174	130577481	31	0	0	
STRG.974.1	NC_073224.2	130588920	130597749	79	0	0	
STRG.974.2	NC_073224.2	130588920	130597749	79	0	0	
STRG.974.3	NC_073224.2	130588920	130597749	79	0	0	
STRG.975.1	NC_073224.2	130599505	130615340	111	0	0	
STRG.975.2	NC_073224.2	130599505	130615340	111	0	0	
STRG.975.3	NC_073224.2	130599505	130614309	111	0	0	
STRG.976.1	NC_073224.2	130657193	130682291	130	0	0	
STRG.977.1	NC_073224.2	130686202	130774383	308	0	0	
STRG.977.2	NC_073224.2	130686823	130770706	187	0	0	
STRG.977.3	NC_073224.2	130690991	130774383	308	0	0	
STRG.977.4	NC_073224.2	130731246	130774383	300	0	0	
STRG.978.1	NC_073224.2	130776869	130791478	3	0	0	
STRG.979.1	NC_073224.2	130800274	130804240	61	0	0	
STRG.979.2	NC_073224.2	130800274	130804240	61	0	0	
STRG.979.3	NC_073224.2	130800274	130804240	61	0	0	
STRG.979.4	NC_073224.2	130800274	130804240	61	0	0	
STRG.979.5	NC_073224.2	130800274	130804240	61	0	0	
STRG.980.1	NC_073224.2	130449320	130461609	371	0	0	
STRG.980.2	NC_073224.2	130449320	130461033	371	0	0	
STRG.980.3	NC_073224.2	130449320	130461609	371	0	0	
STRG.980.4	NC_073224.2	130449320	130461033	371	0	0	
STRG.980.5	NC_073224.2	130449320	130461609	371	0	0	
STRG.980.6	NC_073224.2	130449320	130461609	371	0	0	
STRG.980.7	NC_073224.2	130449320	130461609	371	0	0	
STRG.980.8	NC_073224.2	130449320	130461609	371	0	0	
STRG.980.9	NC_073224.2	130449320	130460503	371	0	0	
STRG.981.1	NC_073224.2	130461621	130478619	8	0	0	
STRG.982.1	NC_073224.2	130488215	130533162	2383	0	0	
STRG.982.2	NC_073224.2	130488215	130533162	2383	0	0	
STRG.983.1	NC_073224.2	130808031	130831819	81	0	0	
STRG.983.2	NC_073224.2	130808031	130831819	81	0	0	
STRG.983.3	NC_073224.2	130808031	130831819	81	0	0	
STRG.983.4	NC_073224.2	130808031	130810626	81	0	0	
STRG.984.1	NC_073224.2	130845727	130870268	843	0	0	
STRG.984.2	NC_073224.2	130845727	130870268	843	0	0	
STRG.984.3	NC_073224.2	130845727	130870268	843	0	0	
STRG.984.4	NC_073224.2	130866686	130870268	804	0	0	
STRG.985.1	NC_073224.2	131006712	131019338	25	0	0	
STRG.986.1	NC_073224.2	130880985	130969155	143	0	0	
STRG.986.2	NC_073224.2	130880985	130969871	147	0	0	
STRG.986.3	NC_073224.2	130880985	130969871	147	0	0	
STRG.986.4	NC_073224.2	130880985	130946349	143	0	0	
STRG.986.5	NC_073224.2	130880985	130969871	147	0	0	
STRG.986.6	NC_073224.2	130880985	130969871	147	0	0	
STRG.986.7	NC_073224.2	130880985	130969155	143	0	0	
STRG.987.1	NC_073224.2	130986147	130992331	1318	0	0	
STRG.987.2	NC_073224.2	130986147	130992331	1318	0	0	
STRG.988.1	NC_073224.2	131038534	131113637	543	0	0	
STRG.988.2	NC_073224.2	131038534	131113637	543	0	0	
STRG.988.3	NC_073224.2	131038534	131113637	543	0	0	
STRG.988.4	NC_073224.2	131038534	131113637	543	0	0	
STRG.988.5	NC_073224.2	131038534	131113637	543	0	0	
STRG.989.1	NC_073224.2	131275313	131342791	990	0	0	
STRG.989.2	NC_073224.2	131275313	131342791	990	0	0	
STRG.989.3	NC_073224.2	131275313	131342791	990	0	0	
STRG.990.1	NC_073224.2	131343387	131367122	63	0	0	
STRG.990.2	NC_073224.2	131343387	131367122	63	0	0	
STRG.991.1	NC_073224.2	131387657	131397165	279	0	0	
STRG.991.2	NC_073224.2	131387657	131397165	279	0	0	
STRG.991.3	NC_073224.2	131387657	131397165	279	0	0	
STRG.991.4	NC_073224.2	131387657	131397165	279	0	0	
STRG.992.1	NC_073224.2	131120350	131152013	1298	0	0	
STRG.992.2	NC_073224.2	131120350	131152013	1298	0	0	
