transcript_id	chrom	start	end	n_reads	n_psv_assigned	n_copies_supported	copies
STRG.3272.1	NC_073227.2	97008836	97055757	33	5	1	copy0
STRG.3272.2	NC_073227.2	97044822	97055757	10	5	1	copy0
STRG.8637.1	NC_073233.2	6759784	6762584	38	36	2	copy1,copy2
STRG.8638.1	NC_073233.2	6761148	6762813	9	8	1	copy2
STRG.8639.1	NC_073233.2	6762877	6766915	130	0	0	
STRG.8639.2	NC_073233.2	6765637	6766915	130	0	0	
STRG.8639.3	NC_073233.2	6765637	6766915	130	0	0	
STRG.8640.1	NC_073233.2	6770853	6782341	275	0	0	
STRG.8641.1	NC_073233.2	6771945	6773187	273	0	0	
STRG.8641.2	NC_073233.2	6771945	6773967	273	0	0	
STRG.8641.3	NC_073233.2	6771945	6773967	273	0	0	
